,license,location,pmcid,pmid,doi,doi_link,pubdate,source,number,text,type of citation intent (CURATION),"Intent (creation, used, mention)",software,version,ID,curation_label,type of citation intent,label
90,comm,comm/J_Clin_Med/PMC7867050.nxml,7867050,33535495.0,10.3390/jcm10030510,,2021,2.8. Statistical Data Analysis,13,"Statistical analysis was performed with SPSS Statistics for Windows, version 25 (IBM, Armonk, NY, USA), GraphPad Prism v.6 (GraphPad software, La Jolla California USA), and R v4.0.2 (R Core Team, Vienna, Austria)",Results: Software used,used,SPSS Statistics,,SM193,software,,1
91,comm,comm/Ecol_Evol/PMC6342111.nxml,6342111,30680105.0,10.1002/ece3.4707,,2018,Estimation of genetic diversity,16,"All loci were tested for departures from Hardy–Weinberg equilibrium (HWE) using CERVUS version 2.0 and used Holm's Bonferroni sequential corrections to adjust p values in HWE estimations (Gaetano, 2013)",Results: Software used,used,CERVUS,,SM30748,software,,1
92,comm,comm/Sci_Rep/PMC4674870.nxml,4674870,26656099.0,10.1038/srep18049,,2015,Lava fountain height evaluated from thermal imagery,47,The procedure involves 2 steps: (1) each frame is converted from the RGB to the HSV standard; (2) the HSV images are converted into binary matrices using the thresholding function of OpenCV,Results: Software used,used,OpenCV,,SM11735,software,,1
94,comm,comm/Acta_Crystallogr_Sect_E_Struct_Rep_Online/PMC3201260.nxml,3201260,22058713.0,10.1107/S1600536811038190,,2011,,32,"Data collection: APEX2 (Bruker, 2007 ▶); cell refinement: SAINT (Bruker, 2007 ▶); data reduction: SAINT; program(s) used to solve structure: SHELXTL (Sheldrick, 2008 ▶); program(s) used to refine structure: SHELXTL; molecular graphics: SHELXTL; software used to prepare material for publication: SHELXTL.",Results: Software used,used,SAINT,,SM2047,software,,1
95,comm,comm/Gigascience/PMC6629541.nxml,6629541,31307060.0,10.1093/gigascience/giz085,,2019,De novo assembly and chromosome construction,10,"Primary assembly v0.1 was generated from PacBio long reads by Canu v1.7 (Canu, RRID:SCR_015880) [37], assembly v0.2 by SMARTdenovo v1.0 [38], assembly v0.3 by Wtdbg v1.2.8 (WTDBG, RRID:SCR_017225) [39], assembly v0.4 after correction by Canu v1.7 [37] and SMARTdenovo v1.0 [38], assembly v0.5 after corrected by Canu v1.0 [37] and Wtdbg v1.2.8 [39], assembly v0.6 after corrected and trimmed by Canu v1.7 [37] and SMARTdenovo v1.0 [38], and assembly v0.7 after corrected and trimmed by Canu v1.7 and Wtdbg v1.2.8",Results: Software used,used,Canu,,SM7020,software,,1
96,comm,comm/Harm_Reduct_J/PMC8199561.nxml,8199561,34118933.0,10.1186/s12954-021-00511-6,,2021,Statistical analysis,13,Trend analysis was done with Joinpoint Regression Program 4.6.0,Results: Software used,used,Joinpoint Regression,,SM25837,software,,1
97,comm,comm/Antonie_Van_Leeuwenhoek/PMC7717034.nxml,7717034,33151460.0,10.1007/s10482-020-01486-3,,2020,Construction of phylogenetic trees for the novel isolates,11,The protein sequences of the resulting orthologous groups were aligned using MUSCLE v.3.8.31 (Edgar 2004),Results: Software used,used,MUSCLE,,SM1043,software,,1
98,comm,comm/PLoS_Genet/PMC5903673.nxml,5903673,29621242.0,10.1371/journal.pgen.1007308,,2018,Computational population-based approaches,32,"Using the HRC reference panel, which consists of about 10 times more individuals than the 1000GP panel, Beagle, Eagle2 and SHAPEIT produced increased haplotype block QAN50 sizes by about 2 to 5 times to ~1 to 2 Mb and the SER was reduced to 0.49%, 0.19% and 0.30%, respectively (Fig 1A and 1B, Table 1 and S1 Fig).",Results: Software used,used,SHAPEIT,,SM17878,software,,1
99,comm,comm/Sci_Rep/PMC7893155.nxml,7893155,33603153.0,10.1038/s41598-021-83798-6,,2021,fig_caption,3,"Maps created in ArcMap v.10.5.1 (ESRI, https://www.esri.com/).",Results: Software used,used,ArcMap,,SM2213,software,,1
100,comm,comm/BMC_Cell_Biol/PMC6020349.nxml,6020349,29945545.0,10.1186/s12860-018-0161-4,,2018,Kinetics of endogenous ROS generation,43,The acquired data was analyzed using FlowJo V10.1 software and results are representative of findings from three independent experiments,Results: Software used,used,FlowJo,V10.1,SM2783,software,,1
101,comm,comm/Biomed_Res_Int/PMC6925685.nxml,6925685,31886228.0,10.1155/2019/5617153,,2019,1. Introduction,0,"By using a probabilistic method, PSORTb 3.0 outperforms CELLO, Cell-PLoc, SLP-Local, and the previous versions of the same tool",Results: Software usage in comparison,used,PSORTb,3,SM1168,software,,1
102,comm,comm/Transl_Psychiatry/PMC7078305.nxml,7078305,32184383.0,10.1038/s41398-020-0772-3,,2020,Co-expression network analysis,15,"For this analysis, we used the WGCNA package in R.",Results: Software used,used,R,,SM3,software,,1
103,comm,comm/BMC_Health_Serv_Res/PMC5789689.nxml,5789689,29378567.0,10.1186/s12913-018-2859-6,,2018,Data analysis,5,Using SPSS (v,Results: Software used,used,SPSS,,SM165,software,,1
104,comm,comm/Molecules/PMC7663370.nxml,7663370,33147821.0,10.3390/molecules25215088,,2020,2.9. B-Cell Epitope Prediction,18,"The findings from the BepiPred linear epitope prediction showed maximum score of 2.416 and a minimum score of −0.001, where the average scores were displayed as 0.813 (Table S1).",Results: Software used,used,BepiPred,,SM6030,software,,1
105,comm,comm/BMC_Gastroenterol/PMC2693118.nxml,2693118,19463183.0,10.1186/1471-230X-9-37,,2009,Statistic analysis,9,All analyses were conducted using the statistical packages of Stata[35].,Results: Software used,used,Stata,,SM2198,software,,1
106,comm,comm/Cell_Death_Dis/PMC4558507.nxml,4558507,26313918.0,10.1038/cddis.2015.215,,2015,Statistical analysis,36,The statistical significance of differences between groups was assessed using GraphPad Prism5 software,Results: Software used,used,GraphPad Prism5,,SM7091,software,,1
107,comm,comm/BMC_Genomics/PMC5031250.nxml,5031250,27654331.0,10.1186/s12864-016-2851-7,,2016,In-silico identification of common regulatory components,55,The Human Ensembl transcript IDs corresponding to the DE genes were obtained using DAVID (Additional file 5: Table S2).,Results: Software used,used,DAVID,,SM637,software,,1
108,comm,comm/PLoS_One/PMC6837510.nxml,6837510,31697700.0,10.1371/journal.pone.0220676,,2019,Divergence time estimation,13,"1.10.4 (available as part of the BEAST package), including the posterior probabilities of the branches, the age of the nodes, and the posterior estimates and HPD limits of the node heights",Results: Software used,used,BEAST,,SM681,software,,1
109,comm,comm/J_Fungi_(Basel)/PMC8397041.nxml,8397041,34436153.0,10.3390/jof7080614,,2021,2.6. Statistical Analysis,11,The statistical significance level was considered as 5% and the SPSS (ver: 20) statistical program was used for all statistical computations.,Results: Software used,used,SPSS,,SM165,software,,1
110,comm,comm/PLoS_One/PMC6181374.nxml,6181374,30308016.0,10.1371/journal.pone.0205493,,2018,"Functional annotation, pathway analysis and GO enrichment",12,The ontology annotations were refined using InterPro Scan and expanded using ANNEX,Results: Software used,used,InterPro Scan,,SM57141,software,,1
111,comm,comm/PLoS_One/PMC3559682.nxml,3559682,23382893.0,10.1371/journal.pone.0054359,,2013,fig_caption,0,The middle shows the same set of SNPs extended by those that are in tight genetic linkage (r2 = 0.8) according to HaploReg [30],Results: Software used,used,HaploReg,,SM28107,software,,1
112,comm,comm/J_Cell_Mol_Med/PMC8500955.nxml,8500955,34510715.0,10.1111/jcmm.16792,,2021,miR‐15a expression is downregulated in HCC tissues and cells and correlated with patients’ survival,20,"The miRNA expression data set, GSE41077 was evaluated using |logFC| > 1 and p < 0.05 as the miRNA screening criteria R package ‘limma’ was applied to analyse the differentially expressed genes, which revealed 31 upregulated miRNAs (Figure 1A), including miR‐15a which was consistent with the findings of previous literature existing",Results: Software used,used,limma,,SM2939,software,,1
113,comm,comm/Viruses/PMC6832132.nxml,6832132,31561510.0,10.3390/v11100899,,2019,3.3. Identification of Phage Genetic Lineages,16,All isolates possessed double-stranded DNA genomes with the majority displaying identity to previously described phages with six distinct genetic subgroups of phages identified based on the similarity to the closest database relatives acquired by BLASTn analysis of the whole genome sequences,Results: Software used,used,BLASTn,,SM551,software,,1
114,comm,comm/Sensors_(Basel)/PMC6806191.nxml,6806191,31591349.0,10.3390/s19194329,,2019,fig_caption,14,"(a) input, (e) ground truth, (b,f) the classification result by PointNet++, (c,g) the classification result by PointSIFT, and (d,h) the classification result by SAN.",Results: Software usage in comparison,used,PointNet,,SM433721,software,,1
115,comm,comm/BMC_Biochem/PMC1298286.nxml,1298286,16271145.0,10.1186/1471-2091-6-23,,2005,,9,The sequences of the putative eLP domains of the human IP (45) and TP (3) receptors were aligned by a sequence alignment program in Insight II software package and manual adjustment,Results: Software used,used,Insight,II,SM14279,software,,1
116,comm,comm/Ecol_Evol/PMC6509395.nxml,6509395,31110674.0,10.1002/ece3.5113,,2019,Species distribution modeling,22,"To avoid this defect, we computed Pearson’ s correlation coefficient between each pair of variables, implemented in IBM SPSS Statistics 16.0 (IBM, Armonk, NY, USA)",Results: Software used,used,SPSS Statistics,16,SM193,software,,1
117,comm,comm/Acta_Crystallogr_Sect_E_Struct_Rep_Online/PMC2971050.nxml,2971050,21578084.0,10.1107/S1600536809039816,,2009,,31,"Data collection: APEX2 (Bruker, 2007 ▶); cell refinement: SAINT-Plus (Bruker, 2007 ▶); data reduction: SAINT-Plus; program(s) used to solve structure: SIR92 (Altomare et al., 1994 ▶); program(s) used to refine structure: SHELXL97 (Sheldrick, 2008 ▶); molecular graphics: DIAMOND (Brandenburg & Putz, 1999 ▶); software used to prepare material for publication: WinGX (Farrugia, 1999 ▶).",Results: Software used,used,SAINT-Plus,,SM9331,software,,1
118,comm,comm/Acta_Crystallogr_Sect_E_Struct_Rep_Online/PMC3393917.nxml,3393917,22798782.0,10.1107/S1600536812026116,,2012,,31,"Data collection: CrysAlis PRO (Agilent, 2012 ▶); cell refinement: CrysAlis PRO; data reduction: CrysAlis PRO; program(s) used to solve structure: SHELXS97 (Sheldrick, 2008 ▶); program(s) used to refine structure: SHELXL97 (Sheldrick, 2008 ▶); molecular graphics: ORTEP-3 (Farrugia, 1997 ▶), DIAMOND (Brandenburg, 2006 ▶) and QMol (Gans & Shalloway, 2001 ▶); software used to prepare material for publication: publCIF (Westrip, 2010 ▶).",Results: Software used,used,DIAMOND,,SM5500,software,,1
119,comm,comm/Structure/PMC3677097.nxml,3677097,23727230.0,10.1016/j.str.2013.04.017,,2013,Crystallization and Structure Determination,17,"Automatic model building using ARP/wARP (Morris et al., 2003) implemented in SHARP further improved the map, which was used to start model building aided by optimally positioned homologous fragments",Results: Software used,used,wARP,,SM927,software,,1
120,comm,comm/JMIR_Mhealth_Uhealth/PMC6495294.nxml,6495294,30998222.0,10.2196/13362,,2019,Statistical Analysis,26,"Statistical calculations were done using built-in functions in Matlab R2018a (The MathWorks, Inc).",Results: Software used,used,Matlab,R2018a,SM93,software,,1
121,comm,comm/Oncotarget/PMC5386761.nxml,5386761,28145887.0,10.18632/oncotarget.14865,,2017,fig_caption,0,"Microphotographs were acquired using a Roper Scientific CoolSnap™ ES camera, images were captured with NIS-Elements F3.2 software, and processed with ImageJ",Results: Software used,used,ImageJ,,SM25,software,,1
122,comm,comm/BMC_Mol_Biol/PMC2546422.nxml,2546422,18710525.0,10.1186/1471-2199-9-75,,2008,paper_abstract,0,"The stability of their expression level was assessed using the Ct range, and by applying both the geNorm and the Normfinder principles of calculation",Results: Software used,used,geNorm,,SM6135,software,,1
124,comm,comm/Membranes_(Basel)/PMC8001782.nxml,8001782,33671063.0,10.3390/membranes11030175,,2021,1. Introduction,4,"The composition of the model solution after sodium carbonate pre-treatment used as the feed for the stage of membrane distillation with crystallization was calculated with the PHREEQC program, and the performance of the last two stages was modeled using Simulink program",Results: Software used,used,Simulink,,SM50980,software,,1
125,comm,comm/Source_Code_Biol_Med/PMC3182884.nxml,3182884,21851626.0,10.1186/1751-0473-6-13,,2011,Sequence Comparison Methods,2,"This is most often done using heuristics found in utilities such as CLUSTAL W [18], MUSCLE [19], T-COFFEE [20], and ProbCons [21]",Background: Simple mention,mention,T-COFFEE,,SM35020,software,,2
126,comm,comm/Oxid_Med_Cell_Longev/PMC5476895.nxml,5476895,28676836.0,10.1155/2017/3420286,,2017,2.2. Histological and Morphological Analyses,3,"Upon dehydration and mounting, photomicrographs of stained sections were randomly taken in a 200x magnification and positive areas were quantified using the open source software ImageJ.",Results: Software used,used,ImageJ,,SM25,software,,1
127,comm,comm/PLoS_One/PMC4169511.nxml,4169511,25237886.0,10.1371/journal.pone.0107148,,2014,Multi-Level Modeling,17,"The key simplification in this paper, assuming that all lipoplexes have the same size, along with listing all possible endosome sizes, makes it possible to formulate the model in SBML and use Copasi to run the simulations",Results: Software used,used,Copasi,,SM2430,software,,1
128,comm,comm/Medicine_(Baltimore)/PMC5293437.nxml,5293437,28151874.0,10.1097/MD.0000000000005929,,2017,Data analysis,8,"Data were analyzed applying the statistical package for the social sciences (SPSS) version 21.0 (SPSS Inc., Chicago, IL)",Results: Software used,used,statistical package for the social sciences (SPSS),,SM22808,software,,1
130,comm,comm/BMC_Bioinformatics/PMC1569443.nxml,1569443,16817977.0,10.1186/1471-2105-7-331,,2006,Data retrieval and integration,11,"Data import from flat files is predominantly based on BioJava [24] which is used to parse multi-FASTA, EMBL [25], Genbank [12], and UniProt [11] formats",Background: About software,mention,BioJava,,SM10234,software,,2
131,comm,comm/J_Transl_Med/PMC7329448.nxml,7329448,32605610.0,10.1186/s12967-020-02402-z,,2020,fig_caption,6,b Bone surface and bone volume were analyzed using NRecon software (*p < 0.05 and ***p < 0.001),Results: Software used,used,NRecon,,SM2069,software,,1
132,comm,comm/Oncotarget/PMC5288209.nxml,5288209,27449084.0,10.18632/oncotarget.10680,,2016,Weighted gene co-expression network analysis (WGCNA) and module detection,36,“WGCNA” in R package was used to construct the weighted gene co-expression network [63],Results: Software used,used,R,,SM3,software,,1
133,comm,comm/PLoS_One/PMC3794988.nxml,3794988,24130740.0,10.1371/journal.pone.0075750,,2013,Evolutionary conservation analysis of lncRNAs,47,The PhastCons program uses genome alignments across 30 vertebrate species (30-way) to identify conserved genomic regions based upon a phylogenetic hidden Markov model [97].,Background: About software,mention,PhastCons,,SM20618,software,,2
134,comm,comm/BMC_Genomics/PMC4138391.nxml,4138391,25124843.0,10.1186/1471-2164-15-680,,2014,"Synthesis of cDNA, Real-Time PCR and data collection",46,"Moreover, through the BLASTN of the sequences of the TGs, PAL2 (located on Gm10 (LG O)) of the PAL gene family, CHS8 (located on Gm11 (LG B1)) of the CHS gene family, IFS1 (located on Gm07 (LG M)) of the IFS gene family, and F3H1 and F3H2 (located on Gm02 (LG D1b)) of the F3H gene family were amplified [11].",Results: Software used,used,BLASTN,,SM553,software,,1
135,comm,comm/J_Clin_Med/PMC8037884.nxml,8037884,33804935.0,10.3390/jcm10071339,,2021,Statistical Analysis,26,"Statistical analyses were carried out using the PQStat statistical package, version 1.6.4.110 (PQStat Software, Poznan, Poland)",Results: Software used,used,PQStat,,SM15015,software,,1
136,comm,comm/Front_Neurol/PMC7479303.nxml,7479303,32982906.0,10.3389/fneur.2020.00831,,2020,3D-T1 MPRAGE,15,"The MPRAGE, which was used as an anatomical reference for registration purposes, was skull-stripped by means of bet toolbox (28), then the SIENAX algorithm (29) was run in order to segment the brain tissues in GM, white matter (WM), and cerebrospinal fluid",Results: Software used,used,MPRAGE,,SM38100,software,,1
137,comm,comm/Sci_Rep/PMC7427808.nxml,7427808,32796878.0,10.1038/s41598-020-70582-1,,2020,DArTseq data analysis,49,"In case of a range of K values, the true K was determined as a value between the estimates predicted by fastSTRUCTURE and based on what made most biological sense",Results: Software used,used,fastSTRUCTURE,,SM51298,software,,1
138,comm,comm/BMC_Bioinformatics/PMC2712472.nxml,2712472,19531248.0,10.1186/1471-2105-10-185,,2009,fig_caption,1,These codes are compared using BLAST with an internal database of signature sequences to determine the individual polyketide or peptide activated by each catalytic domain,Results: Software used,used,BLAST,,SM501,software,,1
139,comm,comm/Int_J_Environ_Res_Public_Health/PMC7246640.nxml,7246640,32384717.0,10.3390/ijerph17093233,,2020,2.4. Data Analysis,22,We used SPSS version 26.0 to assess hypotheses and research questions,Results: Software used,used,SPSS,,SM165,software,,1
140,comm,comm/Hepat_Mon/PMC3759778.nxml,3759778,24032041.0,10.5812/hepatmon.10124,,2013,2.1. EIF2AK3 Gene Analysis,2,"AF110146.1) using Mutation Surveyor (version 3.20; SoftGenetics, State College, PA)",Results: Software used,used,Mutation Surveyor,,SM15032,software,,1
141,comm,comm/Oncotarget/PMC5542196.nxml,5542196,28514730.0,10.18632/oncotarget.17535,,2017,Statistical analysis,44,"The selection of optimal reference genes was conducted using geNorm and NormFinder (Aarhus University Hospital, Aarhus, Denmark), as previously described [40, 41]",Results: Software used,used,geNorm,,SM6135,software,,1
142,comm,comm/eLife/PMC5400511.nxml,5400511,28355134.0,10.7554/eLife.24722,,2017,fig_caption,2,(A–B) The gene ontology algorithm DAVID was used to analyze the ATP7A interactome using the GO Terms Cellular Component (A) and Biological Process (B),Results: Software used,used,DAVID,,SM637,software,,1
143,comm,comm/PLoS_One/PMC4154782.nxml,4154782,25188421.0,10.1371/journal.pone.0106996,,2014,Nearest neighbor analyses,18,"We used R (http://www.r-project.org/) to calculate GLMs, and JMP 9.0 (SAS Institute, Cary, NC) to conduct logistic regressions, Kruskal-Wallis tests and PCA.",Results: Software used,used,JMP,9,SM158,software,,1
144,comm,comm/Mem_Inst_Oswaldo_Cruz/PMC5125050.nxml,5125050,27783720.0,10.1590/0074-02760160148,,2016,MATERIALS AND METHODS,10,"Google Earth images for each cemetery were registered in ArcGis 9 to calculate the total area, the proportion occupied by graves (vs",Results: Software used,used,ArcGis,9,SM5493,software,,1
145,comm,comm/PLoS_One/PMC4898739.nxml,4898739,27275601.0,10.1371/journal.pone.0155457,,2016,[3H]PK 11195 autoradiography,9,All regions of interest were quantified using the calibrated standard curves and the Image J software (NIH),Results: Software used,used,Image J,,SM434,software,,1
146,comm,comm/Int_J_Mol_Sci/PMC4848897.nxml,4848897,27023517.0,10.3390/ijms17040441,,2016,4.3. Sequence Analysis,21,An unrooted phylogenetic tree was produced using the neighbor-joining method with MEGA 5.02 software (http://www.megasoftware.net/) [39],Results: Software used,used,MEGA,5.02,SM509,software,,1
147,comm,comm/PLoS_Genet/PMC3426552.nxml,3426552,22927828.0,10.1371/journal.pgen.1002902,,2012,"Microarray Hybridization, Scanning, Normalization, And Annotation",23,The Affymetrix GCOS operating system controls the scanner and data acquisition functions,Background: About software,mention,Affymetrix GCOS,,SM40004,software,,2
148,comm,comm/Comput_Struct_Biotechnol_J/PMC3962076.nxml,3962076,24688745.0,10.5936/csbj.201308005,,2013,Pocket-Finder,40,The major difference between Pocket-Finder and Q-SiteFinder is that in clustering in Pocket-Finder the sites produced by the Pocket-Finder are ranked according to the number of probes in the site rather than by probe energy,Background: About software,mention,Q-SiteFinder,,SM80112,software,,2
149,comm,comm/Sci_Rep/PMC8346579.nxml,8346579,34362949.0,10.1038/s41598-021-95364-1,,2021,Experiments,24,"To train the models, we used the Adam optimizer with an initial learning rate of , which was chosen as large as possible while ensuring convergence of the training and validation losses",Results: Software used,used,Adam,,SM8175,software,,1
150,comm,comm/PLoS_One/PMC5724841.nxml,5724841,29228000.0,10.1371/journal.pone.0187964,,2017,16S rRNA gene amplification via next generation sequencing (NGS) and bioinformatics analysis,17,"The chimera filtering was performed using UCLUST, which removes sigleton OTUs [16].",Results: Software used,used,UCLUST,,SM855,software,,1
151,comm,comm/Microorganisms/PMC7764410.nxml,7764410,33322780.0,10.3390/microorganisms8121978,,2020,2.3. Bioinformatic Analyses,11,"Community composition summaries (phylum and class levels) and the list of the top 30 OTUs (representing at least 20% of all reads in at least one of the samples) were plotted in R as a barplot and heatmap, respectively",Results: Software used,used,R,,SM3,software,,1
152,comm,comm/Data_Brief/PMC6811980.nxml,6811980,31667270.0,10.1016/j.dib.2019.104507,,2019,"Experimental design, materials and methods",30,"The GeoJSON files, which can be used to test the performance of JSTS, are available in Datasets 1–10.",Results: Software used,used,GeoJSON,,SM195402,software,,1
153,comm,comm/PLoS_One/PMC8099097.nxml,8099097,33951045.0,10.1371/journal.pone.0247147,,2021,fig_caption,2,The image is generated by Rasmol [41].,Results: Software used,used,Rasmol,,SM1356,software,,1
154,comm,comm/Sensors_(Basel)/PMC8398156.nxml,8398156,34450905.0,10.3390/s21165463,,2021,2.3. Positioning Stage,24,"The LabVIEW-based software was used to define the scanning parameters (area to scan, frequency sweep configuration…) and load them into the Arduino board",Results: Software used,used,LabVIEW,,SM2512,software,,1
155,comm,comm/PeerJ/PMC7278891.nxml,7278891,32547856.0,10.7717/peerj.9114,,2020,Gene family analysis,10,"The species tree was generated using STRIDE (Emms & Kelly, 2017), as part of OrthoFinder and used as the input phylogenetic tree for CAFÉ.",Results: Software used,used,CAFÉ,,SM32450,software,,1
156,comm,comm/Oncotarget/PMC5363636.nxml,5363636,27792999.0,10.18632/oncotarget.12864,,2016,Statistical analysis,29,Linkage disequilibrium (LD) analysis and haplotype analysis were performed using SHEsis software (http://analysis.bio-x.cn) [37],Results: Software used,used,SHEsis,,SM28434,software,,1
157,comm,comm/J_Cancer/PMC8408118.nxml,8408118,34475991.0,10.7150/jca.58524,,2021,UALCAN analysis,3,"UALCAN (http://ualcan.path.uab.edu) 12 is an effective online analysis tool and cancer database that enables the user to analyze data according to cancer stage, tumor grade, and patient race and weight, as well as the relative expression of genes of interest and clinicopathological characteristics in tumor and normal samples",Background: About software,mention,UALCAN,,SM27365,software,,2
158,comm,comm/Acta_Crystallogr_Sect_E_Struct_Rep_Online/PMC3247453.nxml,3247453,22220071.0,10.1107/S1600536811042401,,2011,,31,"Data collection: PROCESS-AUTO (Rigaku, 1998 ▶); cell refinement: PROCESS-AUTO; data reduction: CrystalStructure (Rigaku/MSC, 2004 ▶); program(s) used to solve structure: SIR2004 (Burla et al., 2005 ▶); program(s) used to refine structure: SHELXL97 (Sheldrick, 2008 ▶); molecular graphics: ORTEPIII (Burnett & Johnson, 1996 ▶); software used to prepare material for publication: SHELXL97.",Results: Software used,used,SIR2004,,SM12631,software,,1
159,comm,comm/Biotechnol_Biofuels/PMC4422585.nxml,4422585,25949521.0,10.1186/s13068-015-0253-8,,2015,Zymography analysis,47,"And the software Image J (BioRad, USA) was used to obtain the pictures.",Results: Software used,used,Image J,,SM434,software,,1
160,comm,comm/Mol_Genet_Genomic_Med/PMC7963429.nxml,7963429,33225636.0,10.1002/mgg3.1558,,2020,Detection of genetic mutation,11,"Because in silico prediction tools may give different result, a good rule is to consider a prediction only when Polyphen2 (http//genetics.bwh.harvard.edu/pph2/) SIFT (http//sift.jcvi.org/), and the CONsensus DELeteriousness score of missense mutations (Condel) disease prediction tools give the same result",Background: About software,mention,Polyphen2,,SM1393,software,,2
161,comm,comm/Int_J_Mol_Sci/PMC7037001.nxml,7037001,32013053.0,10.3390/ijms21030856,,2020,4.8. Statistics,45,"For the statistical analysis, the program IBM SPSS Statistic was used",Results: Software used,used,SPSS Statistic,,SM6606,software,,1
162,comm,comm/Sci_Rep/PMC5349567.nxml,5349567,28290543.0,10.1038/srep44350,,2017,Microbial composition and community structure analysis,11,"Based on the alignment of OTU representative sequences, a phylogenetic tree was then built using RAxML version 7.4.223 with the GTRGAMMA model, bootstrapping (1,000 replicates), best maximum likelihood tree inference, and displayed with iTol24 (http://itol.embl.de/) representing the output of PhyloH analysis with the ultra-small bacteria OTUs count as multibarplots",Results: Software used,used,RAxML,,SM1408,software,,1
163,comm,comm/J_Clin_Lab_Anal/PMC6528587.nxml,6528587,30737844.0,10.1002/jcla.22837,,2019,Statistical analysis,23,"SPSS 20.0 (SPSS Inc., Chicago, IL, USA) and Excel 2016 statistical software (Microsoft Corporation, Redmond, WA, USA) were used for data analysis",Results: Software used,used,Excel,2016,SM201,software,,1
164,comm,comm/Front_Pharmacol/PMC6002508.nxml,6002508,29937730.0,10.3389/fphar.2018.00588,,2018,Conclusion: an updated GSA-based workflow for PBPK modeling,49,"We found that applying the eFAST approach for a complex multi-compartment, multi-dataset, multi-metabolite PBPK model required less than 10 min of computational time on current hardware",Results: Software used,used,eFAST,,SM1879,software,,1
165,comm,comm/Rev_Soc_Bras_Med_Trop/PMC7094037.nxml,7094037,32130325.0,10.1590/0037-8682-0457-2019,,2020,Statistical analysis,23,Statistix 7.0 and Epi-Info 2008 version 3.5.1 were used to perform the analyses,Results: Software used,used,Epi-Info,2008,SM4096,software,,1
166,comm,comm/Eur_J_Nutr/PMC7987629.nxml,7987629,32789769.0,10.1007/s00394-020-02357-3,,2020,Arterial stiffness,19,"Arterial stiffness was measured using central (carotid– femoral) pulse wave velocity (aPWV) using a semi-automated device and software (SphygmoCor, AtCor Medical, Sydney, Australia) as previously described [39]",Results: Software used,used,SphygmoCor,,SM14997,software,,1
167,comm,comm/EBioMedicine/PMC4471147.nxml,4471147,26097890.0,10.1016/j.ebiom.2015.02.009,,2015,fig_caption,0,Parameters were generated through Michaelis–Menten kinetic experiments and analysed using Graphpad Prism software,Results: Software used,used,Graphpad Prism,,SM825,software,,1
168,comm,comm/Virol_J/PMC3651342.nxml,3651342,23602143.0,10.1186/1743-422X-10-124,,2013,Secondary structure analysis,15,"The secondary structure, as shown in Figure 6, was predicted using MFOLD software",Results: Software used,used,MFOLD,,SM572,software,,1
169,comm,comm/JMIR_Res_Protoc/PMC8196357.nxml,8196357,34047712.0,10.2196/29427,,2021,Strategies for Trustworthiness,33,Interviews will be transcribed and analyzed using NVivo 12 (QSR International) software [71],Results: Software used,used,NVivo,12,SM2203,software,,1
170,comm,comm/Front_Plant_Sci/PMC5443154.nxml,5443154,28596783.0,10.3389/fpls.2017.00877,,2017,fig_caption,4,Unrooted phylogenetic tree of the CaM and CML proteins from soybean ( The alignment for the phylogenetic tree was performed with ClustalW using full-length amino acid sequences,Results: Software used,used,ClustalW,,SM536,software,,1
171,comm,comm/BMC_Genomics/PMC4687377.nxml,4687377,26689712.0,10.1186/s12864-015-2318-2,,2015,"RNA isolation, library preparation and bioinformatic analysis",47,Mercator functional categories that are easily visualized as MapMan bins were annotated for all gene models,Results: Software used,used,MapMan,,SM1098,software,,1
172,comm,comm/BMC_Syst_Biol/PMC5405553.nxml,5405553,28446174.0,10.1186/s12918-017-0427-z,,2017,Flux Variability Analysis (FVA),32,FVA can be set up in COBRA toolbox using the function fluxVariability(),Results: Software used,used,COBRA,,SM27809,software,,1
173,comm,comm/Parkinsons_Dis/PMC4291192.nxml,4291192,25610706.0,10.1155/2014/852965,,2014,2.4. EEG/EMG/Video Analysis,7,EMG signals were analyzed directly using Spike2 (Figure 2),Results: Software used,used,Spike2,,SM7988,software,,1
174,comm,comm/BMC_Biol/PMC7304191.nxml,7304191,32560683.0,10.1186/s12915-020-00804-5,,2020,Gene trees for glycolytic enzymes reflect different patterns of gene loss and transfer,15,"These results were replicated across multiple genomes, and the phylogenetic associations of surrounding ORFs on the same scaffold were verified by BLAST to ensure that the scaffold originated from a CPR organism",Results: Software used,used,BLAST,,SM501,software,,1
175,comm,comm/Parasit_Vectors/PMC4316759.nxml,4316759,25623386.0,10.1186/s13071-015-0660-5,,2015,Results,9,When the 18 s RNA gene fragments from 30 positive foxes from 17 counties were sequenced and compared by BLAST with 18S rRNA sequences of Babesia and Theileria spp,Results: Software used,used,BLAST,,SM501,software,,1
176,comm,comm/Genome_Biol_Evol/PMC6414313.nxml,6414313,30668670.0,10.1093/gbe/evz009,,2019,TMRCA Analysis,26,PHYLIP v3.69 (Felsenstein 1989) was used to generate neighbor-joining phylograms for nucleotide positions of common 4D sites in E,Results: Software used,used,PHYLIP,,SM751,software,,1
177,comm,comm/Oncotarget/PMC5094990.nxml,5094990,27166252.0,10.18632/oncotarget.8959,,2016,Statistical analysis,40,"The SPSS 17.0 software package (SPSS Inc., Chicago, IL) was used",Results: Software used,used,SPSS,17,SM165,software,,1
